cueSize	targetValidity	sbj	gender	age	answerCorrect	reactionTime
big	valid	8	woman	27	1	0.581044662501955
small	valid	8	woman	27	1	0.75962633765407
big	valid	8	woman	27	1	0.616122421745063
small	valid	8	woman	27	1	0.641364541521152
big	valid	8	woman	27	1	0.61245849987423
small	valid	8	woman	27	1	0.609564822541351
big	valid	8	woman	27	1	0.596871310775146
small	valid	8	woman	27	1	0.547483555290466
big	valid	8	woman	27	0	0.638115471379811
small	valid	8	woman	27	1	0.3959509448664
big	valid	8	woman	27	1	0.790674305778524
small	valid	8	woman	27	1	0.554406532164466
big	valid	8	woman	27	1	0.509032263354902
small	valid	8	woman	27	1	0.620036232845773
big	valid	8	woman	27	1	0.749004596940189
small	valid	8	woman	27	1	0.597336319004642
big	valid	8	woman	27	1	0.52715188967582
small	valid	8	woman	27	1	0.552955929166996
big	valid	8	woman	27	1	0.53239124345544
small	valid	8	woman	27	1	0.671022553510409
big	valid	8	woman	27	1	0.639123198490618
small	valid	8	woman	27	1	0.670614739279074
big	valid	8	woman	27	1	0.494434417609099
small	valid	8	woman	27	1	0.564652475467072
big	valid	8	woman	27	1	0.560570256217334
small	valid	8	woman	27	1	0.57342744283009
big	valid	8	woman	27	1	0.756073302072803
small	valid	8	woman	27	1	0.540847393024056
big	valid	8	woman	27	1	0.592935220878272
small	valid	8	woman	27	1	0.582381944138041
big	valid	8	woman	27	1	0.824771842623511
small	valid	8	woman	27	1	0.566185919843104
big	valid	8	woman	27	1	0.51503918550431
small	valid	8	woman	27	99	0
big	valid	8	woman	27	1	0.664514731135028
small	valid	8	woman	27	0	0.765382117910261
big	valid	8	woman	27	1	0.609770549740078
small	valid	8	woman	27	1	0.663508239060276
big	valid	8	woman	27	1	0.444639268254846
small	valid	8	woman	27	1	0.548716655902496
big	valid	8	woman	27	1	0.508037052400625
small	valid	8	woman	27	1	0.54884391578304
big	valid	8	woman	27	1	0.667302494228768
small	valid	8	woman	27	1	0.381386243870094
big	valid	8	woman	27	1	0.49561757205087
small	valid	8	woman	27	1	0.668846619656949
big	valid	8	woman	27	1	0.488952139210971
small	valid	8	woman	27	99	0
big	valid	8	woman	27	1	0.499806783365766
small	valid	8	woman	27	1	0.68030750884121
big	valid	8	woman	27	1	0.502363520003943
small	valid	8	woman	27	1	0.784858071060019
big	valid	8	woman	27	1	0.624268378970678
small	valid	8	woman	27	1	0.409684082513593
big	valid	8	woman	27	1	0.569378815043673
small	valid	8	woman	27	1	0.82022008597864
big	valid	8	woman	27	0	0.475581445479751
small	valid	8	woman	27	1	0.665948818156223
big	valid	8	woman	27	1	0.785422254830714
small	valid	8	woman	27	0	0.663452295723469
big	valid	8	woman	27	0	0.682453602452735
small	valid	8	woman	27	1	0.538673426934954
big	valid	8	woman	27	1	0.614085289798843
small	valid	8	woman	27	1	0.359959980049732
big	valid	8	woman	27	1	0.615040103838138
small	valid	8	woman	27	1	0.672222379711048
big	valid	8	woman	27	1	0.576209111545403
small	valid	8	woman	27	1	0.495941733336202
big	valid	8	woman	27	1	0.573776389721659
small	valid	8	woman	27	1	0.574136924592075
big	valid	8	woman	27	1	0.603874423969348
small	valid	8	woman	27	1	0.539023263850581
big	valid	8	woman	27	1	0.628466863601892
small	valid	8	woman	27	1	0.581713087034125
big	valid	8	woman	27	1	0.493867691651269
small	valid	8	woman	27	1	0.575892797120224
big	valid	8	woman	27	1	0.636901789862614
small	valid	8	woman	27	1	0.599012258458646
big	valid	8	woman	27	1	0.625188641021887
small	valid	8	woman	27	1	0.496102673383497
big	invalid	8	woman	27	1	0.645210890304961
small	invalid	8	woman	27	1	0.478092875273735
big	invalid	8	woman	27	1	0.590778012283894
small	invalid	8	woman	27	1	0.67531056515669
big	invalid	8	woman	27	1	0.56856750524724
small	invalid	8	woman	27	0	0.515318522689846
big	invalid	8	woman	27	1	0.452820291177507
small	invalid	8	woman	27	1	0.767427396870574
big	invalid	8	woman	27	1	0.477813628355978
small	invalid	8	woman	27	1	0.600786332747967
big	invalid	8	woman	27	1	0.583996186698804
small	invalid	8	woman	27	1	0.758952501558557
big	invalid	8	woman	27	1	0.49885404463271
small	invalid	8	woman	27	1	0.563757254428123
big	invalid	8	woman	27	1	0.686893627943737
small	invalid	8	woman	27	1	0.702323268667762
big	invalid	8	woman	27	1	0.586128231740126
small	invalid	8	woman	27	1	0.644904306000938
big	invalid	8	woman	27	1	0.6415333908301
small	invalid	8	woman	27	1	0.694991421914773
big	invalid	8	woman	27	1	0.792295504110176
small	invalid	8	woman	27	1	0.607763834219076
big	invalid	8	woman	27	1	0.524132677830514
small	invalid	8	woman	27	1	0.638813902631812
big	invalid	8	woman	27	1	0.509609550042666
small	invalid	8	woman	27	1	0.719951681113025
big	invalid	8	woman	27	1	0.659659648829178
small	invalid	8	woman	27	1	0.70372158219679
big	invalid	8	woman	27	1	0.466773428730387
small	invalid	8	woman	27	1	0.602377288438352
big	invalid	8	woman	27	1	0.554505757221622
small	invalid	8	woman	27	1	0.591430184620095
big	invalid	8	woman	27	1	0.584380871047713
small	invalid	8	woman	27	1	0.496519872752066
big	invalid	8	woman	27	1	0.507399440202175
small	invalid	8	woman	27	1	0.629105476561857
big	invalid	8	woman	27	1	0.48290518180039
small	invalid	8	woman	27	1	0.547593688410827
big	invalid	8	woman	27	1	0.592497260893891
small	invalid	8	woman	27	1	0.599984949498602
big	invalid	8	woman	27	1	0.479827203481565
small	invalid	8	woman	27	1	0.597734007776578
big	invalid	8	woman	27	1	0.611617425308379
small	invalid	8	woman	27	1	0.713619746828995
big	invalid	8	woman	27	0	0.618860474440315
small	invalid	8	woman	27	1	0.536802272582678
big	invalid	8	woman	27	1	0.575331703310674
small	invalid	8	woman	27	1	0.561189856890209
big	invalid	8	woman	27	1	0.736303436530562
small	invalid	8	woman	27	1	0.644101484113759
big	invalid	8	woman	27	0	0.537807965617989
small	invalid	8	woman	27	1	0.575247988172488
big	invalid	8	woman	27	1	0.583634489566213
small	invalid	8	woman	27	1	0.687771463742414
big	invalid	8	woman	27	1	0.384607784051122
small	invalid	8	woman	27	1	0.714888951358847
big	invalid	8	woman	27	1	0.66036071625611
small	invalid	8	woman	27	1	0.529552816571769
big	invalid	8	woman	27	1	0.616745060369508
small	invalid	8	woman	27	1	0.685296477374966
big	invalid	8	woman	27	1	0.547104877406689
small	invalid	8	woman	27	1	0.673705333261621
big	invalid	8	woman	27	1	0.632784897039764
small	invalid	8	woman	27	1	0.574233439088502
big	invalid	8	woman	27	1	0.675495761413377
small	invalid	8	woman	27	1	0.748279450370883
big	invalid	8	woman	27	1	0.687586660200272
small	invalid	8	woman	27	1	0.668049235452735
big	invalid	8	woman	27	1	0.509307422235383
small	invalid	8	woman	27	1	0.618254312089024
big	invalid	8	woman	27	1	0.534398182678842
small	invalid	8	woman	27	1	0.608773979798157
big	invalid	8	woman	27	1	0.646906674746802
small	invalid	8	woman	27	1	0.762130355639364
big	invalid	8	woman	27	1	0.525194305165145
small	invalid	8	woman	27	1	0.632191472919268
big	invalid	8	woman	27	1	0.592851594891916
small	invalid	8	woman	27	1	0.540977794608133
big	invalid	8	woman	27	1	0.538407048412729
small	invalid	8	woman	27	1	0.703172083614373
big	invalid	8	woman	27	1	0.600175681497538
small	invalid	8	woman	27	1	0.593221253173032
big	invalid	8	woman	27	1	0.598221756491028
small	invalid	8	woman	27	1	0.659504756085429
big	invalid	8	woman	27	1	0.509106946869948
small	invalid	8	woman	27	0	0.536471414186681
big	invalid	8	woman	27	1	0.485470565979859
small	invalid	8	woman	27	1	0.561062460752139
big	invalid	8	woman	27	1	0.739143980367768
small	invalid	8	woman	27	1	0.525334539876603
big	invalid	8	woman	27	1	0.649225275535174
small	invalid	8	woman	27	1	0.571345534001198
big	invalid	8	woman	27	1	0.422561317476852
small	invalid	8	woman	27	1	0.651306370673805
big	invalid	8	woman	27	1	0.525771304387435
small	invalid	8	woman	27	1	0.705408377734797
big	invalid	8	woman	27	1	0.435055186751062
small	invalid	8	woman	27	1	0.629128407612301
big	invalid	8	woman	27	1	0.687768298946077
small	invalid	8	woman	27	1	0.591519871398707
big	invalid	8	woman	27	1	0.63461659797019
small	invalid	8	woman	27	1	0.496318354564929
big	invalid	8	woman	27	99	0
small	invalid	8	woman	27	1	0.68829772214162
big	invalid	8	woman	27	1	0.515444346880495
small	invalid	8	woman	27	1	0.55670855424194
big	invalid	8	woman	27	1	0.414427932080131
small	invalid	8	woman	27	1	0.546218764681884
big	invalid	8	woman	27	1	0.505524671356761
small	invalid	8	woman	27	1	0.569425431246348
big	invalid	8	woman	27	1	0.533294319630734
small	invalid	8	woman	27	1	0.580689353546046
big	invalid	8	woman	27	1	0.554892253895101
small	invalid	8	woman	27	1	0.559097142685056
big	invalid	8	woman	27	1	0.43140557081179
small	invalid	8	woman	27	0	0.537722086837697
big	invalid	8	woman	27	1	0.490503089065822
small	invalid	8	woman	27	1	0.512887570952032
big	invalid	8	woman	27	1	0.668672949408758
small	invalid	8	woman	27	1	0.70238478285415
big	invalid	8	woman	27	1	0.627603678909229
small	invalid	8	woman	27	1	0.578399895042565
big	invalid	8	woman	27	0	0.844755515601447
small	invalid	8	woman	27	1	0.632181263853016
big	invalid	8	woman	27	1	0.50341887705206
small	invalid	8	woman	27	0	0.732780889099425
big	invalid	8	woman	27	1	0.642593851914472
small	invalid	8	woman	27	1	0.782696825366433
big	invalid	8	woman	27	1	0.480855174122875
small	invalid	8	woman	27	1	0.64597045719196
big	invalid	8	woman	27	1	0.476781036743711
small	invalid	8	woman	27	1	0.464820386339964
big	invalid	8	woman	27	1	0.615492165220472
small	invalid	8	woman	27	1	0.522191396588855
big	invalid	8	woman	27	1	0.630710485976909
small	invalid	8	woman	27	1	0.451512706595136
big	invalid	8	woman	27	1	0.45919286751088
small	invalid	8	woman	27	1	0.527958655413231
big	invalid	8	woman	27	1	0.465081143992057
small	invalid	8	woman	27	1	0.74375020797266
big	invalid	8	woman	27	1	0.49394439992445
small	invalid	8	woman	27	1	0.582895659650893
big	invalid	8	woman	27	1	0.397808553149883
small	invalid	8	woman	27	1	0.682621989969216
big	invalid	8	woman	27	1	0.567109526035802
small	invalid	8	woman	27	1	0.684022531112521
big	invalid	8	woman	27	0	0.45686371287357
small	invalid	8	woman	27	1	0.627792815061353
big	invalid	8	woman	27	1	0.847057467899741
small	invalid	8	woman	27	1	0.566453916275765
big	invalid	8	woman	27	1	0.683038236297844
small	invalid	8	woman	27	0	0.566503794537097
big	invalid	8	woman	27	1	0.430605265737634
small	invalid	8	woman	27	1	0.516365033717078
big	invalid	8	woman	27	99	0
small	invalid	8	woman	27	0	0.703689881730732
big	invalid	8	woman	27	1	0.582480877901796
small	invalid	8	woman	27	1	0.605829297805068
big	invalid	8	woman	27	1	0.519099552865294
small	invalid	8	woman	27	1	0.511311924651756
big	invalid	8	woman	27	1	0.544708385973126
small	invalid	8	woman	27	1	0.432168703972029
big	invalid	8	woman	27	1	0.651675380746748
small	invalid	8	woman	27	1	0.638945386934262
big	invalid	8	woman	27	1	0.51780738433582
small	invalid	8	woman	27	1	0.662412598448641
big	invalid	8	woman	27	1	0.518724956293773
small	invalid	8	woman	27	1	0.582961545824506
big	invalid	8	woman	27	1	0.556098523541191
small	invalid	8	woman	27	1	0.593463218895892
big	invalid	8	woman	27	1	0.477952235830442
small	invalid	8	woman	27	1	0.637448733631983
big	invalid	8	woman	27	1	0.60538286432699
small	invalid	8	woman	27	1	0.535747634532738
big	invalid	8	woman	27	1	0.394016645009761
small	invalid	8	woman	27	1	0.616691922461439
big	invalid	8	woman	27	0	0.701279263074033
small	invalid	8	woman	27	1	0.612963007950057
big	invalid	8	woman	27	1	0.633466517745264
small	invalid	8	woman	27	1	0.614493691347521
big	invalid	8	woman	27	1	0.774752764321098
small	invalid	8	woman	27	1	0.643800476009801
big	invalid	8	woman	27	1	0.597156282668847
small	invalid	8	woman	27	1	0.63676563401678
big	invalid	8	woman	27	1	0.501585142499914
small	invalid	8	woman	27	1	0.596415787533343
big	invalid	8	woman	27	1	0.509335560566382
small	invalid	8	woman	27	1	0.728303910840904
big	invalid	8	woman	27	1	0.46641323397054
small	invalid	8	woman	27	1	0.690753253232898
big	invalid	8	woman	27	1	0.740476234966835
small	invalid	8	woman	27	1	0.580295029526667
big	invalid	8	woman	27	1	0.579353800433567
small	invalid	8	woman	27	1	0.639334498066137
big	invalid	8	woman	27	1	0.509418055725876
small	invalid	8	woman	27	1	0.634120491411377
big	invalid	8	woman	27	0	0.662680292420923
small	invalid	8	woman	27	1	0.685198325032995
big	invalid	8	woman	27	1	0.536912408967513
small	invalid	8	woman	27	1	0.574134828612576
big	invalid	8	woman	27	1	0.595849499135095
small	invalid	8	woman	27	1	0.568278021192354
big	invalid	8	woman	27	1	0.722920170963744
small	invalid	8	woman	27	1	0.462101859141473
big	invalid	8	woman	27	1	0.630946398145215
small	invalid	8	woman	27	1	0.633937374976315
big	invalid	8	woman	27	1	0.454807631500824
small	invalid	8	woman	27	1	0.607672136402623
big	invalid	8	woman	27	1	0.612663319616364
small	invalid	8	woman	27	1	0.559124013490481
big	invalid	8	woman	27	1	0.429796597810137
small	invalid	8	woman	27	1	0.615132334363238
big	invalid	8	woman	27	1	0.674206328908381
small	invalid	8	woman	27	1	0.682340950604732
big	invalid	8	woman	27	1	0.558105947938222
small	invalid	8	woman	27	1	0.477356238796151
big	invalid	8	woman	27	1	0.585646654389957
small	invalid	8	woman	27	1	0.593208730027063
big	invalid	8	woman	27	1	0.587967020232111
small	invalid	8	woman	27	1	0.556772614209399
big	invalid	8	woman	27	1	0.603762644473047
small	invalid	8	woman	27	1	0.635884242602392
big	invalid	8	woman	27	1	0.670604730837878
small	invalid	8	woman	27	1	0.687203750017081
big	invalid	8	woman	27	1	0.649290192134101
small	invalid	8	woman	27	1	0.555061977582745
big	invalid	8	woman	27	1	0.580725203112891
small	invalid	8	woman	27	1	0.634131649741973
big	invalid	8	woman	27	1	0.456027582082787
small	invalid	8	woman	27	1	0.799567217602402
big	invalid	8	woman	27	1	0.512245915444114
small	invalid	8	woman	27	1	0.611482826166727
big	invalid	8	woman	27	1	0.703466666411948
small	invalid	8	woman	27	1	0.780732382967956
big	invalid	8	woman	27	1	0.571420642187392
small	invalid	8	woman	27	0	0.604970756328495
big	invalid	8	woman	27	1	0.626921020559841
small	invalid	8	woman	27	1	0.708268822965233
big	invalid	8	woman	27	1	0.654121970027126
small	invalid	8	woman	27	1	0.777067745774657
